Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C6, C7, C9",0603,5,.1u,
"C10, C15, C16, C17, C20, C21, C5",0603,7,1u,
"C11, C13",0603,2,10n,
C14,0603,1,47n,
C18,1206,1,10u,
C19,1206,1,33u,
C2,0603,1,4.7u,
C8,1206,1,4.7u,
D3,SOT-143,1,SP0503BAHT,
D4,0603,1,Green,
D5,0603,1,Yellow,
D6,0603,1,Red,
D7,SOT-23,1,BAS40-04,
J1,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,JST3pinfemale,
J2,SMA_Molex_73251-1153_EdgeMount_Horizontal,1,SMA_Edge_50Ω,CONSMA001-C-G
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
J4,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,EXT_UART,
J5,PinHeader_2x03_P2.54mm_Vertical,1,SWD,
J6,microSD_HC_Molex_104031-0811,1,Micro_SD_Card_Det1,
J7,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,jst_b2beh,
J8,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,EXT_I2C,
L1,0402,1,0,
L2,L_Coilcraft_LPS3010,1,3.3uH,
R1,1206,1,47,
R10,0603,1,680k,
R11,0603,1,470k,
"R12, R2, R3, R6, R7, R8, R9",0603,7,4.7k,
"R13, R14, R15",0603,3,470,
"R16, R19",0603,2,1k,
R17,0603,1,10k_therm,
R18,0603,1,150k,
R20,0603,1,0,
"R21, R22, R23",1812,3,0,
"R4, R5",0603,2,5.1k,
SW1,SW_PUSH_1P1T_6x3.5mm_H5.0_APEM_MJTP1250,1,MJTP1250,
TP10,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,tp_vbus,
TP12,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,tp_siggnd,
TP13,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,tp_batgnd,
TP14,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,tp_usbgnd,
TP15,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,tp_sig+,
TP2,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,tp_vbatt,
TP3,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,tp_5vbatt,
TP4,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,tp_5v,
TP5,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,tp_3v3,
TP8,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,tp_rusb,
TP9,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,tp_rstup,
U1,SOT-353_SC-70-5_Handsoldering,1,OPA333,
U2,SOT-23-6,1,ADS1110A0IDBVR,
U3,SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,1,CP2102N-Axx-xQFN20,
U4,LoRa-E5,1,Wio-E5_STM32WLE5JC,
U5,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,CAT24C256,
U6,SOT-23,1,MCP1700x-330xxTT,
U7,SOT-583-8,1,TPS2116DRL,
U8,Texas_DRC0010J_ThermalVias,1,TPS63002,
U9,MSOP-10_3x3mm_P0.5mm,1,MCP73833,
